id,county,latitude,longitude,wellDepth,LandSurfaceElevation,WaterElevation,Saturated Thickness,DepthFromLSD,Month,Day,Year
2333301,Lubbock,33.4897220,-101.8958340,46.32959851745285,984.8087684861194,961.1989612416332,73.73999999999978,23.60980724448618,12,15,2014
2333501,Lubbock,33.4497220,-101.9205550,42.062398654003246,993.0383682227722,959.8700332841589,51.279999999999745,33.168334938613334,1,31,2000
2333604,Lubbock,33.4544450,-101.8758330,53.339998293120054,980.8463686129162,941.8014898623524,28.09999999999991,39.04487875056385,2,17,2015
2333802,Lubbock,33.4005560,-101.9383340,30.47999902464003,990.9047682910474,967.0084490557296,68.59999999999991,23.89631923531781,4,8,2002
2333901,Lubbock,33.4069450,-101.8758330,45.41519854671365,982.6751685543946,946.0016337279477,21.179999999999836,36.67353482644693,12,17,2015
2334101,Lubbock,33.4636120,-101.8675000,45.71999853696005,976.5791687494666,941.8319698613769,25,34.747198888089635,2,17,1999
2334202,Lubbock,33.4888890,-101.7958340,52.73039831262725,963.7775691591178,929.1248582680046,23.309999999999945,34.652710891113266,12,18,2014
2334502,Lubbock,33.4213890,-101.8036120,59.43599809804806,968.0447690225674,920.6209385401299,31.909999999999854,47.42383048243747,12,16,2015
2334503,Lubbock,33.4547230,-101.7952780,51.815998341888054,964.3871691396106,922.9038904670755,36.5,41.48327867253506,1,27,2012
2334604,Lubbock,33.4183330,-101.7588890,52.42559832238086,962.2535692078858,919.221906584899,16.019999999999982,43.031662622986744,12,16,2015
2334801,Lubbock,33.3991670,-101.8108340,56.38799819558406,968.0447690225674,917.185842650053,92.73999999999978,50.8589263725144,12,16,2015
2334805,Lubbock,33.4016670,-101.8152780,60.95999804928006,968.0447690225674,919.6730105704637,100.90000000000009,48.37175845210368,12,16,2015
2334902,Lubbock,33.4150010,-101.7541670,51.20639836139525,961.643969227393,914.5279867351045,0.6199999999998909,47.11598249228854,12,16,2015
2335101,Lubbock,33.4758330,-101.7288890,33.527998927104036,956.1575694029577,931.2127382011923,30.759999999999764,24.944831201765446,12,19,2014
